"","month","counterparty_name","region","factory","deal_type","volume","price","market_price","market_price_prev","inflation","inp_1","inp_2"
"102","2019-02-01 00:00:00","385","0","1","4","16.84604","148.96","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"103","2019-02-01 00:00:00","386","38","5","3","0.512822","143.35","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"104","2019-02-01 00:00:00","387","15","4","3","24.624591","153.4106406586","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"105","2019-02-01 00:00:00","391","39","3","3","6.549149","169.87","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"106","2019-02-01 00:00:00","392","6","3","3","2.436893","176.03104435033","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"107","2019-02-01 00:00:00","401","41","6","4","43.5738462","140.8","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"108","2019-02-01 00:00:00","411","24","4","4","125.180168","150.57081657831","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"109","2019-02-01 00:00:00","411","24","6","4","36.643963","147.54261579628","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"110","2019-02-01 00:00:00","419","24","8","4","86.0675133","150.10416748816","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"111","2019-02-01 00:00:00","420","33","6","7","0.9880418","159.46600417255","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"112","2019-02-01 00:00:00","442","36","8","3","81.0689936","151.52499258836","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"113","2019-02-01 00:00:00","447","38","6","4","14.36213","145.9","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"114","2019-02-01 00:00:00","454","24","4","4","263.399428","146.88470217665","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"115","2019-02-01 00:00:00","455","33","6","4","1.9521731","142.33000261312","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"116","2019-02-01 00:00:00","471","36","8","5","0.07841","168.952","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"117","2019-02-01 00:00:00","476","36","8","3","4.9580408","149.47","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"118","2019-02-01 00:00:00","494","21","1","3","10.478459","136.72","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"119","2019-02-01 00:00:00","499","42","6","4","19.8171983","140.8","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"120","2019-02-01 00:00:00","507","24","8","4","169.1581401","147.1469673888","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"121","2019-02-01 00:00:00","508","23","1","3","17.138686","142.59755847794","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"122","2019-02-01 00:00:00","525","42","6","4","54.5158965","145.6757566961","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"123","2019-02-01 00:00:00","559","42","6","3","9.8976221","145.18357719324","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"124","2019-02-01 00:00:00","562","33","5","3","0.804775","147.61910003417","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"125","2019-02-01 00:00:00","566","0","6","3","5.0454956","148.89978699088","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"126","2019-02-01 00:00:00","573","36","8","2","0.84626","175.06313981519","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"127","2019-02-01 00:00:00","576","8","1","4","20.098192","140.15955797417","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"128","2019-02-01 00:00:00","593","21","1","3","15.913361","154.06","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"129","2019-02-01 00:00:00","601","38","5","3","0.96644","154.57","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"130","2019-03-01 00:00:00","7","21","1","3","5.846548","151.36771304366","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"131","2019-03-01 00:00:00","8","2","8","7","207.8642078","156.94931202492","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"132","2019-03-01 00:00:00","9","25","8","4","17.815844","162.22","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"133","2019-03-01 00:00:00","13","21","1","3","16.810697","161.2","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"134","2019-03-01 00:00:00","31","15","4","3","92.652449","160.93278863562","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"135","2019-03-01 00:00:00","57","6","3","4","59.935119","173.21711484514","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"136","2019-03-01 00:00:00","59","36","8","5","0.267704","181.84632422377","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"137","2019-03-01 00:00:00","77","6","3","5","1.478072","171.4","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"138","2019-03-01 00:00:00","129","41","6","4","58.3496081","152.46735245278","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"139","2019-03-01 00:00:00","130","8","1","3","6.865557","151.38488423299","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"140","2019-03-01 00:00:00","176","6","3","3","4.947234","171.4","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"141","2019-03-01 00:00:00","181","22","1","6","2.875568","171.77534601581","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"142","2019-03-01 00:00:00","189","12","4","3","2.00139","168.81069560655","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"143","2019-03-01 00:00:00","196","24","8","3","31.7348936","156.88991145417","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"144","2019-03-01 00:00:00","202","39","3","3","26.526957","174.90164498928","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"145","2019-03-01 00:00:00","202","39","4","3","43.567041","162.17619919218","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"146","2019-03-01 00:00:00","203","30","1","5","3.78101","134.68","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"147","2019-03-01 00:00:00","205","8","1","3","3.054845","141.82","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"148","2019-03-01 00:00:00","212","21","1","3","7.9867815","149.71761828717","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"149","2019-03-01 00:00:00","268","21","1","3","4.068215","153.80718700462","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"150","2019-03-01 00:00:00","269","44","3","8","31.66159","177.52","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"151","2019-03-01 00:00:00","286","22","1","4","303.324144","149.87709233581","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"152","2019-03-01 00:00:00","287","12","4","4","33.740491","167.33768770348","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"153","2019-03-01 00:00:00","287","12","8","4","19.2769454","161.2","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"154","2019-03-01 00:00:00","293","14","1","4","17.306885","134.68","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"155","2019-03-01 00:00:00","308","42","6","3","149.3254069","155.40463170424","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"156","2019-03-01 00:00:00","316","39","3","4","249.75208","173.40141725202","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"157","2019-03-01 00:00:00","316","39","4","4","21.768914","163.24","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"158","2019-03-01 00:00:00","318","15","8","3","20.361049","155.67642903973","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"159","2019-03-01 00:00:00","336","38","5","3","4.940302","148.71303417686","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"160","2019-03-01 00:00:00","343","33","6","3","21.5421328","159.05241524468","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"161","2019-03-01 00:00:00","351","2","1","3","26.773962","143.07749297844","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"162","2019-03-01 00:00:00","375","6","3","3","4.174541","173.46627075887","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"163","2019-03-01 00:00:00","387","15","4","3","28.999205","161.27984698349","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"164","2019-03-01 00:00:00","392","6","3","3","1.860612","180.58151962903","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"165","2019-03-01 00:00:00","401","41","6","4","59.3725771","152.87981002271","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"166","2019-03-01 00:00:00","411","24","4","4","147.060061","162.16298126763","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"167","2019-03-01 00:00:00","411","24","6","4","52.5042204","149.50567604838","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"168","2019-03-01 00:00:00","411","24","8","4","75.2425028","154.57413864654","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"169","2019-03-01 00:00:00","419","24","8","4","46.28409","159.05955267605","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"170","2019-03-01 00:00:00","442","36","8","3","74.4270678","158.04462235147","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"171","2019-03-01 00:00:00","447","38","6","4","57.0733397","153.89418237684","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"172","2019-03-01 00:00:00","454","24","4","4","290.393754","156.2976684358","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"173","2019-03-01 00:00:00","454","24","6","4","59.4138858","146.07048903235","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"174","2019-03-01 00:00:00","454","24","8","4","149.4781954","154.53382098686","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"175","2019-03-01 00:00:00","460","46","1","3","20.067007","147.79490397048","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"176","2019-03-01 00:00:00","476","36","8","3","4.9579418","163.75000204498","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"177","2019-03-01 00:00:00","478","20","1","4","16.801985","134.68","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"178","2019-03-01 00:00:00","498","4","1","3","5.002175","156.1","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"179","2019-03-01 00:00:00","507","24","8","4","206.71257838","155.56246060935","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"180","2019-03-01 00:00:00","525","42","6","4","80.0857433","153.30772206651","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"181","2019-03-01 00:00:00","559","42","6","3","10.8842838","152.68397116295","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"182","2019-03-01 00:00:00","562","33","5","3","0.265619","169.36","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"183","2019-03-01 00:00:00","566","0","5","3","1.919614","168.26576094986","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"184","2019-03-01 00:00:00","566","0","6","3","2.3107077","155.90285019219","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"185","2019-03-01 00:00:00","573","36","8","2","0.32591","179.56","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"186","2019-03-01 00:00:00","587","30","1","3","13.042856","134.68","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"187","2019-03-01 00:00:00","601","38","5","3","3.236316","158.86126783046","152.10976","161.21632","0.3216","9.7862515457143","8.7959597785714"
"188","2019-04-01 00:00:00","5","44","3","8","18.824456","177.52","161.21632","161.56516","0.2922","10.116317828571","9.4682956176471"
