,symbol,year,EV,Market Cap,FCF,EBITDA,CapitalExpenditure,EnterprisesValueEBITDARatio,DilutedEPS,TotalRevenue,TotalAssets,TotalDebt,NetIncome,OperatingExpense,GrossProfit,deal
494,AR,2022,14198797461.0,9301228461.0,2888020000.0,3285263000.0,-163322000.0,3.9455,5.77,8299911000.0,14118039000.0,4629966000.0,1898771000.0,261888000.0,4626930000.0,0
495,AR,2023,11555592920.0,6816337920.0,827204000.0,1228918000.0,-167517000.0,5.7634,0.78,4278974000.0,13619414000.0,4506106000.0,242919000.0,279087000.0,669354000.0,0
496,ARCB,2020,1141169790.0,1083321790.0,148500000.0,222584000.0,-57489000.0,6.3542,2.69,2940163000.0,1779008000.0,403545000.0,71100000.0,129850000.0,228128000.0,0
497,ARCB,2021,2866262897.0,2980319897.0,245042000.0,406222000.0,-78473000.0,8.1499,7.98,3766185000.0,2112676000.0,337107000.0,213521000.0,129351000.0,406329000.0,0
498,ARCB,2022,1833078315.0,1710228315.0,305314000.0,536068000.0,-165505000.0,3.2033,11.69,5029008000.0,2494286000.0,438676000.0,298209000.0,160698000.0,573524000.0,0
499,ARCB,2023,2949891152.0,2844393152.0,90169000.0,341738000.0,-231998000.0,8.9886,7.93,4427443000.0,2485094000.0,437731000.0,195433000.0,194752000.0,378433000.0,0
500,ARCH,2020,841317950.0,666835950.0,-225963000.0,-208638000.0,-287069000.0,-4.032429,-22.74,1467592000.0,1722472000.0,508312000.0,-344615000.0,80038000.0,-32439000.0,0
501,ARCH,2021,1750930760.0,1405688760.0,-8342000.0,483746000.0,-246626000.0,10.7037,19.2,2208042000.0,2117160000.0,560673000.0,337573000.0,118916000.0,507879000.0,0
502,ARCH,2022,2179636660.0,2506535660.0,1035743000.0,1232749000.0,-173797000.0,1.7425,63.88,3724593000.0,2433108000.0,174276000.0,1330914000.0,141745000.0,1252430000.0,0
503,ARCH,2023,2964167838.0,3048270838.0,458162000.0,712791000.0,-177212000.0,3.7486,24.2,3145843000.0,2484173000.0,140595000.0,464038000.0,109443000.0,657469000.0,0
